Strain,OD,ODlog2,ODlog10,CFU,CFUlog10
ura3,0.043,-4.53951953,-1.366531544,455000,5.658011397
ura3,0.096,-3.380821784,-1.017728767,1630000,6.212187604
ura3,0.125,-3,-0.903089987,1790000,6.252853031
ura3,0.159,-2.652901329,-0.798602876,3650000,6.562292864
ura3,0.036,-4.795859283,-1.443697499,755000,5.877946952
ura3,0.157,-2.671163536,-0.804100348,3400000,6.531478917
ura3,0.211,-2.244685096,-0.675717545,4100000,6.612783857
ura3,0.248,-2.011587974,-0.605548319,7900000,6.897627091
ura3,0.035,-4.836501268,-1.455931956,860000,5.934498451
ura3,0.169,-2.564904848,-0.772113295,4550000,6.658011397
ura3,0.23,-2.120294234,-0.638272164,7800000,6.892094603
ura3,0.279,-1.841662973,-0.554395797,7350000,6.866287339
VNG0195H,0.03,-5.058893689,-1.522878745,465000,5.667452953
VNG0195H,0.097,-3.365871442,-1.013228266,1480000,6.170261715
VNG0195H,0.13,-2.943416472,-0.886056648,1040000,6.017033339
VNG0195H,0.159,-2.652901329,-0.798602876,1960000,6.292256071
VNG0195H,0.053,-4.23786383,-1.27572413,380000,5.579783597
VNG0195H,0.151,-2.727379545,-0.821023053,1620000,6.209515015
VNG0195H,0.212,-2.23786383,-0.673664139,1940000,6.28780173
VNG0195H,0.255,-1.971430848,-0.59345982,3100000,6.491361694
VNG0195H,0.035,-4.836501268,-1.455931956,225000,5.352182518
VNG0195H,0.099,-3.336427665,-1.004364805,1400000,6.146128036
VNG0195H,0.137,-2.867752202,-0.863279433,1800000,6.255272505
VNG0195H,0.17,-2.556393349,-0.769551079,1190000,6.075546961
VNG0194H,0.03,-5.058893689,-1.522878745,145000,5.161368002
VNG0194H,0.119,-3.070966521,-0.924453039,490000,5.69019608
VNG0194H,0.132,-2.921390165,-0.879426069,1220000,6.086359831
VNG0194H,0.164,-2.60823228,-0.785156152,2520000,6.401400541
VNG0194H,0.058,-4.10780329,-1.236572006,275000,5.439332694
VNG0194H,0.108,-3.210896782,-0.966576245,985000,5.99343623
VNG0194H,0.151,-2.727379545,-0.821023053,1740000,6.240549248
VNG0194H,0.185,-2.434402824,-0.732828272,2520000,6.401400541
VNG0194H,0.039,-4.680382066,-1.408935393,250000,5.397940009
VNG0194H,0.083,-3.590744853,-1.080921908,710000,5.851258349
VNG0194H,0.112,-3.158429363,-0.950781977,685000,5.835690571
VNG0194H,0.147,-2.76611194,-0.832682665,880000,5.944482672
ftsZ2,0.025,-5.321928095,-1.602059991,90000,4.954242509
ftsZ2,0.081,-3.625934282,-1.091514981,700000,5.84509804
ftsZ2,0.113,-3.145605322,-0.946921557,1660000,6.220108088
ftsZ2,0.14,-2.836501268,-0.853871964,1380000,6.139879086
ftsZ2,0.025,-5.321928095,-1.602059991,357000,5.552668216
ftsZ2,0.061,-4.035046947,-1.214670165,285000,5.45484486
ftsZ2,0.086,-3.53951953,-1.065501549,950000,5.977723605
ftsZ2,0.112,-3.158429363,-0.950781977,1110000,6.045322979
ftsZ2,0.029,-5.10780329,-1.537602002,350000,5.544068044
ftsZ2,0.089,-3.490050854,-1.050609993,375000,5.574031268
ftsZ2,0.129,-2.954557029,-0.88941029,1680000,6.225309282
ftsZ2,0.162,-2.625934282,-0.790484985,1370000,6.136720567