ura3 .D1,ura3.D2,cdrS.D1,cdrS.D2,ura3.m,cdrS.m
4.15,4.9,9.43,7.06,13.64,16.50
3.46,1.94,7.35,4.55,9.05,11.9
4.7,4.91,6.57,4.87,5.4,11.44
3.48,10.16,12.03,7.09,9.61,19.12
4.55,3.71,5.12,6.17,8.26,11.29
4.31,3.88,5.28,6.45,8.19,11.73
5.09,4.29,4.63,52.87,9.38,57.5
4.17,6.16,3.08,50.09,10.33,53.17
4.07,5.24,23.02,6.22,9.31,29.24
3.8,1.96,2.72,39.88,5.76,42.6
3.03,3.35,6.76,58.89,6.38,65.65
3.05,4.58,9.35,12.35,7.63,21.7
3.52,4.03,7.72,10.78,7.55,18.5
3.01,2.93,3.9,45.59,5.94,49.49
4.39,7.12,9.46,29.02,11.51,38.48
5.03,5.84,45.38,10.19,10.87,55.57
4.83,3.03,9.6,8.02,7.86,17.62
3.68,5.52,17.1,25.05,9.2,42.15
5.59,5.05,20.2,18.93,10.64,11.99
5.34,5.28,4.61,5.51,10.62,10.12
4.68,4.21,25.93,5.02,8.89,30.95
8.47,8.18,4.55,4.83,16.65,9.38
6.19,7.73,3.59,3.63,13.92,7.22
5.83,5.21,5.75,4.73,11.04,10.48
4.8,5.83,14.89,8.8,10.63,23.69
5.67,3.66,4.95,3.71,9.33,8.66
4.09,4.45,21.34,7.32,8.54,28.66
1.99,1.87,6.83,5.59,3.86,12.42
2.98,3.03,4.8,4.55,6.01,9.35
2.52,11.85,3.93,3.71,14.37,7.64
2.86,3.43,,,6.29,
4.06,3.82,,,7.88,
4.72,3.62,,,8.34,
3.07,9.09,,,12.16,
3.59,4.52,,,8.11,
2.58,2.77,,,5.35,
5.45,6.08,,,11.53,
4.77,4.71,,,9.48,
3.13,6.54,,,9.67,
7.24,4,,,11.24,
2.97,3.47,,,6.44,
3.18,4.46,,,7.64,
2.81,3.65,,,6.46,
4.61,4.61,,,9.22,
2.53,2.95,,,5.48,
3.47,5.32,,,8.79,
4.13,4.48,,,8.61,
4.96,4.88,,,9.84,
4.69,5.04,,,9.73,
5.48,5.41,,,10.89,
6.41,6.42,,,12.83,
4.09,4.64,,,8.73,
5.52,7.64,,,13.16,
3.47,3.03,,,6.5,
3.34,3.6,,,6.94,
3.57,3.46,,,7.03,
4.61,3.78,,,8.39,
2.91,3.03,,,5.94,
3.99,3.54,,,7.53,
5.01,5.37,,,10.38,
5.36,5.67,,,11.03,
5.67,6.07,,,11.74,
6.33,5.49,,,11.82,